,Disaster Type,Disaster Number,Incident Type,Title,Incident Begin Date,State ,Declared County/Area,FIPS Code
2,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Amelia (County),51007
3,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Appomattox (County),51011
4,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Brunswick (County),51025
5,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Campbell (County),51031
6,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Charlotte (County),51037
7,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Chesterfield (County),51041
8,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Cumberland (County),51049
9,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Dinwiddie (County),51053
10,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Essex (County),51057
11,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Floyd (County),51063
12,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Fluvanna (County),51065
13,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Franklin (County),51067
14,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Halifax (County),51083
15,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,King and Queen (County),51097
16,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Lunenburg (County),51111
17,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Montgomery (County),51121
18,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,New Kent (County),51127
19,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Northumberland (County),51133
20,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Nottoway (County),51135
21,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Pittsylvania (County),51143
22,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Powhatan (County),51145
23,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Prince Edward (County),51147
24,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Rappahannock (County),51157
25,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Richmond (County),51159
26,DR,4411,Hurricane,TROPICAL STORM MICHAEL,10/9/2018,VA,Roanoke (County),51161
36,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Botetourt (County),51023
37,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Charles City (County),51036
38,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Chesterfield (County),51041
39,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Craig (County),51045
40,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Floyd (County),51063
41,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Franklin (County),51067
42,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Grayson (County),51077
43,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Halifax (County),51083
44,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Henry (County),51089
45,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Isle of Wight (County),51093
46,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,King and Queen (County),51097
47,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,King William (County),51101
48,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Lancaster (County),51103
49,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Lunenburg (County),51111
50,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Mathews (County),51115
51,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Mecklenburg (County),51117
52,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Nelson (County),51125
53,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Northumberland (County),51133
54,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Nottoway (County),51135
55,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Patrick (County),51141
56,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Pittsylvania (County),51143
57,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Pulaski (County),51155
58,DR,4401,Hurricane,HURRICANE FLORENCE,9/8/2018,VA,Russell (County),51167
67,DR,4291,Hurricane,HURRICANE MATTHEW,10/7/2016,VA,Isle of Wight (County),51093
68,DR,4291,Hurricane,HURRICANE MATTHEW,10/7/2016,VA,Southampton (County),51175
102,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Accomack (County),51001
103,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Arlington (County),51013
104,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Clarke (County),51043
105,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Craig (County),51045
106,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Culpeper (County),51047
107,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Essex (County),51057
108,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Fauquier (County),51061
109,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Frederick (County),51069
110,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Greene (County),51079
111,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Highland (County),51091
112,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,King and Queen (County),51097
113,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Lancaster (County),51103
114,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Loudoun (County),51107
115,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Madison (County),51113
116,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Mathews (County),51115
117,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Middlesex (County),51119
118,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Nelson (County),51125
119,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,New Kent (County),51127
120,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Northampton (County),51131
121,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Northumberland (County),51133
122,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Prince William (County),51153
123,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Rappahannock (County),51157
124,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Shenandoah (County),51171
125,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Surry (County),51181
126,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Warren (County),51187
127,DR,4092,Hurricane,HURRICANE SANDY,10/26/2012,VA,Westmoreland (County),51193
367,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Accomack (County),51001
368,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Amelia (County),51007
369,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Brunswick (County),51025
370,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Caroline (County),51033
371,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Charles City (County),51036
372,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Chesterfield (County),51041
373,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Dinwiddie (County),51053
374,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Essex (County),51057
375,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Greensville (County),51081
376,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Hanover (County),51085
377,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Henrico (County),51087
378,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Isle of Wight (County),51093
379,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,James City (County),51095
380,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,King and Queen (County),51097
381,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,King George (County),51099
382,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,King William (County),51101
383,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Lancaster (County),51103
384,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Lunenburg (County),51111
385,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Mathews (County),51115
386,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Middlesex (County),51119
387,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,New Kent (County),51127
388,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Northampton (County),51131
389,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Northumberland (County),51133
390,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Nottoway (County),51135
391,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Powhatan (County),51145
392,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Prince George (County),51149
393,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Richmond (County),51159
394,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Southampton (County),51175
395,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Surry (County),51181
396,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Sussex (County),51183
397,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,Westmoreland (County),51193
398,DR,4024,Hurricane,HURRICANE IRENE,8/26/2011,VA,York (County),51199
770,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Accomack (County),51001
771,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Albemarle (County),51003
772,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Amelia (County),51007
773,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Amherst (County),51009
774,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Appomattox (County),51011
775,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Arlington (County),51013
776,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Augusta (County),51015
777,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Bedford (County),51019
778,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Brunswick (County),51025
779,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Buckingham (County),51029
780,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Campbell (County),51031
781,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Caroline (County),51033
782,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Charles City (County),51036
783,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Charlotte (County),51037
784,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Chesterfield (County),51041
785,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Clarke (County),51043
786,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Culpeper (County),51047
787,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Cumberland (County),51049
788,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Dinwiddie (County),51053
789,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Essex (County),51057
790,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Fairfax (County),51059
791,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Fauquier (County),51061
792,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Fluvanna (County),51065
793,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Frederick (County),51069
794,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Gloucester (County),51073
795,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Goochland (County),51075
796,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Greene (County),51079
797,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Greensville (County),51081
798,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Halifax (County),51083
799,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Hanover (County),51085
800,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Henrico (County),51087
801,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Highland (County),51091
802,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Isle of Wight (County),51093
803,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,James City (County),51095
804,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,King and Queen (County),51097
805,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,King George (County),51099
806,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,King William (County),51101
807,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Lancaster (County),51103
808,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Loudoun (County),51107
809,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Louisa (County),51109
810,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Lunenburg (County),51111
811,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Madison (County),51113
812,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Mathews (County),51115
813,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Mecklenburg (County),51117
814,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Middlesex (County),51119
815,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Nelson (County),51125
816,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,New Kent (County),51127
817,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Northampton (County),51131
818,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Northumberland (County),51133
819,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Nottoway (County),51135
820,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Orange (County),51137
821,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Page (County),51139
822,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Pittsylvania (County),51143
823,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Powhatan (County),51145
824,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Prince Edward (County),51147
825,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Prince George (County),51149
826,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Prince William (County),51153
827,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Rappahannock (County),51157
828,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Richmond (County),51159
829,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Rockbridge (County),51163
830,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Rockingham (County),51165
831,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Shenandoah (County),51171
832,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Southampton (County),51175
833,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Spotsylvania (County),51177
834,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Stafford (County),51179
835,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Surry (County),51181
836,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Sussex (County),51183
837,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Warren (County),51187
838,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,Westmoreland (County),51193
839,DR,1491,Hurricane,HURRICANE ISABEL,9/18/2003,VA,York (County),51199
1047,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Accomack (County),51001
1048,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Brunswick (County),51025
1049,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Caroline (County),51033
1050,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Charles City (County),51036
1051,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Chesterfield (County),51041
1052,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Dinwiddie (County),51053
1053,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Essex (County),51057
1054,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Fairfax (County),51059
1055,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Gloucester (County),51073
1056,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Greensville (County),51081
1057,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Halifax (County),51083
1058,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Hanover (County),51085
1059,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Henrico (County),51087
1060,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Isle of Wight (County),51093
1061,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,James City (County),51095
1062,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,King and Queen (County),51097
1063,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,King George (County),51099
1064,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,King William (County),51101
1065,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Lancaster (County),51103
1066,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Lunenburg (County),51111
1067,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Mathews (County),51115
1068,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Mecklenburg (County),51117
1069,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Middlesex (County),51119
1070,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,New Kent (County),51127
1071,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Northampton (County),51131
1072,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Northumberland (County),51133
1073,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Prince George (County),51149
1074,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Richmond (County),51159
1075,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Southampton (County),51175
1076,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Surry (County),51181
1077,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Sussex (County),51183
1078,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,Westmoreland (County),51193
1079,DR,1293,Hurricane,HURRICANE FLOYD MAJOR DISASTER DECLARATIONS,9/13/1999,VA,York (County),51199
1123,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Accomack (County),51001
1124,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Albemarle (County),51003
1125,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Alleghany (County),51005
1126,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Amelia (County),51007
1127,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Amherst (County),51009
1128,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Appomattox (County),51011
1129,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Augusta (County),51015
1130,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Bath (County),51017
1131,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Bedford (County),51019
1132,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Botetourt (County),51023
1133,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Brunswick (County),51025
1134,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Buckingham (County),51029
1135,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Campbell (County),51031
1136,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Charles City (County),51036
1137,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Charlotte (County),51037
1138,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Chesterfield (County),51041
1139,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Clarke (County),51043
1140,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Culpeper (County),51047
1141,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Cumberland (County),51049
1142,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Dinwiddie (County),51053
1143,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Essex (County),51057
1144,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Fauquier (County),51061
1145,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Fluvanna (County),51065
1146,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Franklin (County),51067
1147,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Frederick (County),51069
1148,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Giles (County),51071
1149,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Gloucester (County),51073
1150,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Goochland (County),51075
1151,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Greene (County),51079
1152,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Greensville (County),51081
1153,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Halifax (County),51083
1154,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Henrico (County),51087
1155,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Henry (County),51089
1156,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Highland (County),51091
1157,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Isle of Wight (County),51093
1158,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,James City (County),51095
1159,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,King and Queen (County),51097
1160,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,King George (County),51099
1161,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,King William (County),51101
1162,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Lancaster (County),51103
1163,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Louisa (County),51109
1164,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Lunenburg (County),51111
1165,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Madison (County),51113
1166,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Mathews (County),51115
1167,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Mecklenburg (County),51117
1168,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Middlesex (County),51119
1169,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Montgomery (County),51121
1170,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Nelson (County),51125
1171,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,New Kent (County),51127
1172,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Northampton (County),51131
1173,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Northumberland (County),51133
1174,DR,1135,Hurricane,HURRICANE FRAN AND ASSOCIATED SEVERE STORM COND,9/5/1996,VA,Nottoway (County),51135
